Manufacturer_Name,Approved_MFG_Location,Location Status,Usage Status,Quality Agreement,Current Audit Document,Approval Document/Reference#,Quality Due Date,Function,Quality Risk,Description of Goods/Services,Material Group,Amgen site,Supplier ID,Billing Vendor ID,Managed by,Subcategory,Billing Vendor Name,Billing Vendor Address,Last Changed By,Created on,Description
BIOANALYTICAL INSTRUMENTS INC.,"CAROLINA,PR,US",APPROVED,Acceptable,QAGR-400889,AMS-65392,REC-536637,03/31/2024,CALIBRATION,Low,"TOC ANALYZERS, ORION TITRATORS, MELTING POINT APPARATUS, CENTRIFUGES, THERMAL CYCLERS, CELL COUNTERS, CAPILLARY ELECTROPHORESIS, AND SEQUENCERS",INCLSV,GLOBAL,100201070,100039729,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,BIO ANALYTICAL INSTRUMENTS INC,"SAN JUAN,PR,US",CJULARBA,05/16/2016,Insp&Calibration Srv
JOHNSON CONTROLS INC.,"LYNNFIELD,MA,US",APPROVED,Acceptable,QAGR-401533,N/A PER SOP-427473,REC-569795,7/8/2022,F&E MAINTENANCE,Low,CORRECTIVE AND PREVENTIVE MAINTENANCE OF HVAC SYSTEMS,MAINT,GLOBAL,100201205,100058271,"MALDONADO, DAISEY",HVAC SERVICES,JOHNSON CONTROLS INC,"DALLAS,TX,US",TRITURAO,05/19/2016,Maintenance Srv
FISHER SCIENTIFIC CO - UNITY LAB SV,"EDMONTON,AB,CA",APPROVED,Acceptable,N/A PER SOP-417413,AMS-51271,REC-534205,09/30/2023,CALIBRATION,Low,"MASS, BALANCES/SCALES, PIPETTES, SYRINGES, CENTRIFUGES, TIMERS, TEMPERATURE (PROBES, INCUBATORS, AND FREEZERS), PH METERS, SPECTROPHOTOMETERS, AND C02 MEASURING EQUIPMENT",INCLSV,GLOBAL,100201283,100183758,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,FISHER SCIENTIFIC CO,"NEPEAN,ON,CA",NMARINOS,05/20/2016,Insp&Calibration Srv
ENVIRONMENTAL RESOURCE ASSOCIATES (A WATERS CO),"GOLDEN,CO,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-51180,REC-570225,07/31/2022,CALIBRATION,Medium,"PROFICIENCY TESTING, CHEMICAL TESTING, AND REFERENCE MATERIAL PRODUCER (INCLUDING TURBIDITY AND PH BUFFERS)",INCLSV,GLOBAL,100201284,100044054,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,ENVIRONMENTAL RESOURCE ASSOCIATES,"PALATINE,IL,US",CJULARBA,05/20/2016,Insp&Calibration Srv
"EMERSON ASIA PACIFIC PRIVATE, LTD","SINGAPORE, SG",APPROVED,Acceptable,QAGR-401277,AMS-51272,REC-534237,12/11/2024,CALIBRATION,Low,LIQUID FLOW,INCLSV,GLOBAL,100201315,100170662,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,EMERSON ASIA PACIFIC,"SINGAPORE,SG,SG",NMARINOS,05/20/2016,Insp&Calibration Srv
BIOS INTL CORP (A DIV OF MESA LABS),"BUTLER,NJ,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-67114,REC-570019,12/30/2022,CALIBRATION,Low,FLOW METERS AND FLOW CALIBRATORS,INCLSV,GLOBAL,100201321,100146120,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,MESA LABORATORIES INC,"LAKEWOOD,CO,US",NMARINOS,05/26/2016,Insp&Calibration Srv
FIS/VCI INC,"SAN JUAN,PR,US",APPROVED,Acceptable,QAGR-400903,AMS-57165,REC-556003,03/31/2024,CALIBRATION,Low,"HYDROGEN GENERATORS, ZERO AIR GENERATORS, NITROGEN GENERATORS, LIQUID BORN PARTICLE COUNTERS (ON SITE ONLY), AIRBORNE PARTICLE COUNTERS, AND WHITE LIGHT METERS",INCLSV,GLOBAL,100201323,100039795,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,VCI INC,"SAN JUAN,PR,US",NMARINOS,05/27/2016,Insp&Calibration Srv
KEYSIGHT TECHNOLOGIES INC. SERVICE CENTER,"LOVELAND,CO,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-57080,REC-534105,03/30/2023,CALIBRATION,Low,"ELECTRONIC CALIBRATIONS (AC CURRENT, AC VOLTAGE, CAPACITANCE, HF RESISTANCE, HF REACTANCE, HF SUSCEPTANCE, INDUCTANCE, THERMAL VOLTAGE CONVERTERS, DC VOLTAGE, DC RESISTANCE, DC CURRENT, RATIO TRANSFORMERS, AND FREQUENCY)",INCLSV,GLOBAL,100201324,100189668,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,KEYSIGHT TECHNOLOGIES INC,"SANTA ROSA,CA,US",NMARINOS,05/24/2016,Insp&Calibration Srv
MASY SYSTEMS,"PEPPERELL,MA,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-52469,REC-560210,05/30/2022,CALIBRATION,Medium,"ELECTRICAL, TEMPERATURE, AND HUMIDITY",INCLSV,GLOBAL,100201325,100039391,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,MASY SYSTEMS INC,"PEPPERELL,MA,US",CJULARBA,05/27/2016,Insp&Calibration Srv
"NMC, A STRA NATIONAL METROLOGY CENTRE","SINGAPORE, SG",APPROVED,Acceptable,N/A PER SOP-427473,AMS-42880,REC-570165,08/13/2022,CALIBRATION,Low,"ACOUSTICS AND VIBRATION, GAS, MASS & FORCE, PRESSURE & FLOW, TEMPERATURE & HUMIDITY, ELECTRICAL, LENGTH & DIMENSIONAL, OPTICAL RADIATION, RF & MICROWAVE, AND TIME & FREQUENCY.",INCLSV,GLOBAL,100201329,100200029,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,SUPERTRON SENSING PTE LTD,"SINGAPORE, SG",NMARINOS,08/30/2016,Insp&Calibration Srv
NATIONAL STANDARDS AUTHORITY OF IRELAND,"NORTHWOD SANTRY,DB,IE",APPROVED,Acceptable,N/A PER SOP-417413,AMS-45210,REC-561646,11/15/2022,CALIBRATION,Low,"ACOUSTICS AND VIBRATION, GAS, MASS & FORCE, PRESSURE & FLOW, TEMPERATURE, HUMIDITY,AND MOISTURE, ELECTRICAL, LENGTH & DIMENSIONAL, OPTICAL RADIATION, RF & MICROWAVE,AND TIME & FREQUENCY",INCLSV,GLOBAL,100201335,100152024,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,NSAI NATIONAL METROLOGY LABORATORY,"DUBLIN, IE",NMARINOS,5/5/2017,Insp&Calibration Srv
NORLAB (A DIV OF NORCO INC),"BOISE,ID,US",APPROVED,Acceptable,QAGR-402008,AMS-52863,REC-555987,01/31/2024,CALIBRATION,Low,STANDARD REFERENCE GASES,INCLSV,GLOBAL,100201337,100046664,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,NORCO INC,"SALT LAKE CITY,UT,US",NMARINOS,05/26/2016,Insp&Calibration Srv
PROFESSIONAL HEPA CERTIFICATION COR,"VILLA TURABO,PR,US",APPROVED,Acceptable,QAGR-400943,AMS-51469,REC-556020,03/31/2023,CALIBRATION,Low,CLEANROOM AND HOOD CERTIFICATION,INCLSV,GLOBAL,100201338,100043048,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,PROFESSIONAL HEPA CERTIFICATE CORP,"CAGUAS,PR,US",NMARINOS,05/26/2016,Insp&Calibration Srv
TRESCAL INC,"SANTA CLARA,CA,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-55405,REC-558474,12/31/2022,CALIBRATION,Low,"DIMENSIONAL, ELECTRICAL, ESD SIMULATION, MASS, ON-SITE SCALES/BALANCES, FORCE, PRESSURE, TORQUE, ACCELERATION, OPTICAL, TEMPERATURE (INCLUDING ON-SITE TEMPERATURE-CONTROLLED ENCLOSURES), TEMPERATURE BY SIMULATION, HUMIDITY, TIME/FREQUENCY",INCLSV,GLOBAL,100201339,100193780,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,TRESCAL INC,"PASADENA,CA,US",NMARINOS,7/11/2016,Insp&Calibration Srv
STUART HUNT AND ASSOCIATES LTD,"MISSISSAUGA,ON,CA",APPROVED,Acceptable,N/A PER SOP-417413,AMS-53458/64994,REC-556004,07/31/2022,CALIBRATION,Low,"CALIBRATION AND REPAIR SERVICE FOR IONIZING RADIATION: GAMMA AND NEUTRON EXPOSURE METERS, AND CONTAMINATION INSTRUMENTS",INCLSV,GLOBAL,100201341,100171007,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,STUART HUNT AND ASSOCIATES LTD,"EDMONTON,AB,CA",GTORRE05,05/27/2016,Insp&Calibration Srv
INSECO INC.,"SAN JUAN,PR,US",APPROVED,Acceptable,QAGR-400902,AMS-32860/47396,REC-565880,06/30/2022,CALIBRATION,Low,PALL FILTER INTEGRITY TESTERS,INCLSV,GLOBAL,100201342,100039827,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,INSECO,"SAN JUAN,PR,US",NMARINOS,05/22/2016,Insp&Calibration Srv
WATERS TECHNOLOGIES IRELAND LTD ERA,"WEXFORD, IE",APPROVED,Acceptable,N/A PER SOP-427473,AMS-51520,REC-569383,7/10/2022,CALIBRATION,Medium,CALIBRATION OF TOC SOLUTIONS & CONDUCTIVITY SOLUTIONS,INCLSV,GLOBAL,100201553,100201553,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,WATERS TECHNOLOGIES IRELAND LTD,"WEXFORD, IE",CJULARBA,10/3/2016,Insp&Calibration Srv
METTLER-TOLEDO RAININ LLC,"OAKLAND,CA,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-54146,REC-562284,6/4/2022,CALIBRATION,Medium,CALIBRATION OF PIPETTES,INCLSV,GLOBAL,100201716,100201716,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,METTLER-TOLEDO RAININ LLC,"OAKLAND,CA,US",CJULARBA,08/25/2016,Insp&Calibration Srv
LABSPHERE INC.,"NORTH SUTTON,NH,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-69770,REC-536721,04/30/2023,CALIBRATION,Low,LABSPHERE LIGHT MEASURING DEVICES AND COATINGS,INCLSV,GLOBAL,100201802,100046120,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,LABSPHERE INC,"NORTH SUTTON,NH,US",GTORRE05,05/31/2016,Insp&Calibration Srv
VWR TECHNICAL SERVICES,"BOXMEER, NL",APPROVED,Acceptable,QAGR-400992,AMS-32619/51194,REC-556609,06/30/2022,CALIBRATION,Low,"ELECTRICAL, PRESSURE, TEMPERATURE AND PIPETTES",INCLSV,GLOBAL,100202002,100030779,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,VWR INTERNATIONAL B.V.,"AMSTERDAM, NL",FPELLOT,06/16/2016,Insp&Calibration Srv
METTLER-TOLEDO B.V. DIVISION TECHNICAL SVCS,"TIEL, NL",APPROVED,Acceptable,N/A PER SOP-417413,AMS-60866,REC-569403,8/1/2023,CALIBRATION,Low,BALANCE/SCALE AND MASS,INCLSV,GLOBAL,100202003,100266888,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,METTLER TOLEDO B V,"TIEL,04,NL",NMARINOS,06/13/2016,Insp&Calibration Srv
MALAYAN DACHING CO PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-402646,N/A PER SOP-427473,REC-638850,03/31/2025,PRODUCT CONTACT ELASTOMER/HOSE SUPPLIER,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100202679,100202679,"WALTNER, JERALD",PCS ELASTOMER,MALAYAN DACHING CO PTE LTD,"SINGAPORE, SG",JWALTNER,3/7/2022,MRO - ETVPS
NOVISCI LLC,"DURHAM,NC,US",PROVISIONL,Acceptable with additional oversight,QAGR-402600,REC-606456/634143,REC-606895,08/31/2022,COMPUTERIZED SYSTEM,Medium,HOSTED SOFTWARE FOR GMP COMPUTERIZED SYSTEMS.,ISOSRV,GLOBAL,100202754,100202754,ASN3624015,IS INTEGRATED SERVICES - HOSTED SERVICES,NOVISCI LLC,"DURHAM,NC,US",GTORRE05,2/4/2022,IS Outsourced Serv
PFAUDLER LTD,"LEVEN,FI,GB",APPROVED,Acceptable,QAGR-401735,N/A PER SOP-427473,REC-564148,07/31/2023,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100202812,100202812,"WALTNER, JERALD",PCS ELASTOMER,PFAUDLER LTD,"LEVEN,FI,GB",NMARINOS,08/25/2017,MRO - ETVPS
DEKRA CERTIFICATION INC.,"CONCORD,CA,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,FORM-492140,6/7/2022,MEDICAL DEVICES,High,CE MARKING CERTIFICATION SERVICES,DEVICE,GLOBAL,100202868,100166200,"SHIU, LANA",CONTRACTORS & CONSULTANTS- INCLUDING ENGINEERING SERVICES,DEKRA CERTIFICATION INC,"CHICAGO,IL,US",NMARINOS,06/24/2016,Devices
"WOODSTOCK STERILE SOLUTIONS, INC","WOODSTOCK,IL,US",APPROVED,Acceptable,QAGR-401589,AMS-72246,RPT-533832,02/28/2023,CONTRACT MANUFACTURING,High,"COMMERCIAL DP MANUFACTURING FOR ASEPTIC BLOW/FILL/SEAL, IN-PROCESS LABORATORY TESTING, AND PACKAGING AND LABELING OPERATIONS",CTRMFG,GLOBAL,100203230,100192893,ES DP/FDP,CONTRACT MANUFACTURERS,CATALENT PHARMA SOLUTIONS,"CHICAGO,IL,US",GTORRE05,07/14/2016,Contract Mfg
ALMARC ENGINEERING PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-401693,N/A PER SOP-427473,REC-563700,4/10/2022,F&E MAINTENANCE,Low,PCS ELASTOMER,ETVPS,GLOBAL,100203476,100203476,"WALTNER, JERALD",PCS ELASTOMER,ALMARC ENGINEERING PTE LTD,"SINGAPORE, SG",NMARINOS,2/7/2019,MRO - ETVPS
ALMARC ENGINEERING PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-401693,N/A PER SOP-427473,REC-563700,4/10/2022,F&E MAINTENANCE,Low,PCS ELASTOMER,ETVPS,GLOBAL,100203476,100203476,"WALTNER, JERALD",PCS HOSE,ALMARC ENGINEERING PTE LTD,"SINGAPORE, SG",NMARINOS,04/19/2019,MRO - ETVPS
JOHN CRANE SINGAPORE PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-561882,09/21/2024,F&E MAINTENANCE,Low,REBUILD OF JOHN CRANE MECHANICAL SEALS,MAINT,GLOBAL,100203563,100203563,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,JOHN CRANE SINGAPORE PTE LTD,"SINGAPORE, SG",NMARINOS,8/2/2017,Maintenance Srv
ZWICK USA LP,"KENNESAW,GA,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-59176,REC-560476,06/30/2023,CALIBRATION,Low,"FORCE, EXTENSOMETERS, MELT FLOW INDEX MACHINES (VOLUME & RATE), DISPLACEMENT VERIFICATION ON MEASURING SYSTEMS AND DEVICES USED IN MATERIALS TESTING, DUROMETER CALIBRATION (TYPE A & D), PENDULUM IMPACT TESTING MACHINES -[SEE EXEF FOR COMPLETE DESCRIPTION]",INCLSV,GLOBAL,100203925,100203925,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,ZWICK USA LP,"KENNESAW,GA,US",GTORRE05,05/24/2017,Insp&Calibration Srv
RX-360 INTERNATIONAL PHARNACEUTICAL SUPPLY CHAIN CONSORTIUM,"PHILADELPHIA,PA,US",APPROVED,Acceptable,QAGR-401213,AMS-30059,REC-569557,07/31/2024,SUPPLIER QUALITY,Low,EXECUTION OF RAW MATERIAL SUPPLIER AUDITS ON BEHALF OF AMGEN’S SUPPLIER QUALITY MANAGEMENT ORGANIZATION.,QASUP,GLOBAL,100203934,100203934,"ES SUPPLIER QUALITY / RODRIGUEZ, MARIE",CONTRACTOR AUDIT SERVICES,RX-360 INTERNATIONAL PHARNACEUTICAL,"PHILADELPHIA,PA,US",NMARINOS,08/16/2016,Qlty Audits-Supplier
TMS HEALTH LLC,"BOCA RATON,FL,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,FORM-492153,8/1/2022,MEDICAL DEVICES,High,"SUPPORT CENTER FOR PATIENTS, CAREGIVERS AND HEALTHCARE PROVIDERS SPECIFICALLY FOR PRODUCT SOFTWARE AND SOFTWARE DEVICES. SUPPORT FOCUSES ON TECHNICAL ISSUES AND GENERAL PRODUCT RELATED QUESTIONS. ADVERSE EVENT REPORTING WILL CONTINUE TO BE SUPPORTED BY ME",DEVICE,GLOBAL,100204129,100138479,"MCCASLIN, PAM",CONTRACTORS & CONSULTANTS- INCLUDING ENGINEERING SERVICES,TMS HEALTH LLC,"DALLAS,TX,US",NMARINOS,08/30/2016,Devices
METTLER TOLEDO (INDUSTRIAL),"COLUMBUS,OH,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-59365,REC-561364,10/30/2023,CALIBRATION,Low,BALANCES AND SCALES,INCLSV,GLOBAL,100204200,100074123,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,METTLER TOLDEO,"DALLAS,TX,US",GTORRE05,08/16/2016,Insp&Calibration Srv
ALLOGA FRANCE LONGUEAU,"LONGUEAU, FR",APPROVED,Acceptable,"QAGR-402159, QAGR-402388",AMS-58356,REC-564363,4/1/2023,INTERNATIONAL LOGISTIC SERVICE PROVIDER,Medium,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,WAREH,GLOBAL,100204201,100005930,EU DISTRIBUTION & INNOVATION,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,ALLOGA FRANCE SAS,"MARSEILLE CEDEX 3, FR",GTORRE05,10/14/2016,Warehousing
ABEC TECHNOLOGIES EUROPE LTD,"SHANNON CO,CL,IE",APPROVED,Acceptable,QAGR-402022,N/A PER SOP-430938,REC-564411,04/24/2023,F&E MAINTENANCE,Low,MAINTENANCE SERVICES OF MECHANICAL SYSTEMS WITH A LEVEL 1 CLASSIFICATION ON TANK REPAIRS,MAINT,GLOBAL,100204319,100196102,"MALDONADO, DAISEY",MAINTENANCE SVCS-GMP,ABEC TECHNOLOGIES EUROPE LTD,"CO CORK, IE",NMARINOS,10/28/2016,Maintenance Srv
CORPORATE CONSULTING SERVICE AND INSTRUMENTS INC,"AKRON,OH,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-39580,REC-568679,6/4/2022,CALIBRATION,Medium,"MICROMETERS, CALIPERS, THICKNESS GAUGES, AND CUTTING DIES, DUROMETERS, SHORE HARDNESS TEST BLOCKS, RESILIOMETERS, MOONEY VISCOMETERS, RHEOMETERS, TENSILE, EXTENSOMETERS, PLASTOMETERS, SCALES & BALANCES, AND TABER ABRADERS",INCLSV,GLOBAL,100204466,100204466,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,CORPORATE CONSULTING SERVICE,"AKRON,OH,US",CJULARBA,08/26/2016,Insp&Calibration Srv
DSV AIR & SEA B V,"OUDE MEER,08,NL",APPROVED,Acceptable,QAGR-401592,AMS-49220,REC-569790,11/24/2022,TRANSPORT,High,DSV PROVIDES TEMPERATURE QUALIFIED TRANSPORT.,SHDELS,GLOBAL,100204664,100204664,SUPPLY CHAIN,TRANSPORT SERVICE PROVIDERS- CONTROLLED TEMPERATURE SHIPMENTS,DSV AIR & SEA B V,"OUDE MEER,08,NL",NMARINOS,10/11/2016,Ship& Delivery Serv
OFNI SYSTEMS INC,"RALEIGH,NC,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-562266,08/31/2022,COMPUTERIZED SYSTEM,Medium,PROVIDE CUSTOM SOFTWARE,ISSLND,GLOBAL,100204692,100204692,"ORR, KATELYN",SOFTWARE DEVELOPMENT DOWNLOAD VIA PHYSICAL MEDIA,OFNI SYSTEMS INC,"RALEIGH,NC,US",NMARINOS,9/8/2016,IS SW Lic no Dwnload
C S C FORCE MEASUREMENT INC,"AGAWAM,MA,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-48667,REC-562124,9/5/2022,CALIBRATION,Low,"MASS (SCALES AND BALANCES), TORQUE, AND FORCE",INCLSV,GLOBAL,100204694,100204694,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,C S C FORCE MEASUREMENT INC,"AGAWAM,MA,US",GTORRE05,08/26/2016,Insp&Calibration Srv
WR GRACE AND CO. - CONN,"ALBANY,OR,US",APPROVED,Acceptable,QAGR-401338,AMS-57653,RPT-553915,05/31/2022,CONTRACT MANUFACTURING,High,ACTIVE PHARMACEUTICAL INGREDIENT (API) REGULATORY STARTING MATERIAL MANUFACTURING AND TESTING,CTRMFG,GLOBAL,100204814,100176519,ES DS,CONTRACT MANUFACTURERS,WR GRACE & CO CONN,"CHICAGO,IL,US",NMARINOS,08/24/2016,Contract Mfg
KISTLER INSTRUMENT CORP,"AMHERST,NY,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-55286,REC-563302,10/30/2022,CALIBRATION,Low,"PRESSURE, FORCE, VIBRATION AND VELOCITY TRANSDUCERS",INCLSV,GLOBAL,100204958,100204958,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,KISTLER INSTRUMENT CORP,"AMHERST,NY,US",NMARINOS,10/4/2016,Insp&Calibration Srv
COMPUFLOW SOLUTIONS LLC,"CHANDLER,AZ,US",APPROVED,Acceptable,QAGR-401615,N/A PER SOP-430938,REC-564355,04/24/2023,F&E MAINTENANCE,Low,REPAIR LIQUID FLOW PROVERS. UPDATE SYSTEM SOFTWARE AS NECESSARY.,MAINT,GLOBAL,100205008,100204796,"MALDONADO, DAISEY",MAINTENANCE SVCS-GMP,COMPUFLOW SOLUTIONS  LLC,"MESA,AZ,US",NMARINOS,10/11/2016,Maintenance Srv
"TETRASCIENCE, INC.","BOSTON,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-560888,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLND,GLOBAL,100205194,100205194,ASN0436723,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,"TETRASCIENCE, INC.","BOSTON,MA,US",NMARINOS,12/15/2017,IS SW Lic no Dwnload
"TETRASCIENCE, INC.","BOSTON,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-560888,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSM,GLOBAL,100205194,100205194,ASN0436723,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,"TETRASCIENCE, INC.","BOSTON,MA,US",NMARINOS,12/15/2017,IS Software Maint
"TETRASCIENCE, INC.","BOSTON,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-560888,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLDL,GLOBAL,100205194,100205194,ASN0436723,SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,"TETRASCIENCE, INC.","BOSTON,MA,US",NMARINOS,12/15/2017,IS SW Lic Download
"TETRASCIENCE, INC.","BOSTON,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-560888,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,GLOBAL,100205194,100205194,ASN0436723,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP","TETRASCIENCE, INC.","BOSTON,MA,US",NMARINOS,12/15/2017,IS Sftwre Maint-Elec
TRANSCAT INC.,"FULLERTON,CA,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-61708,REC-563311,12/30/2023,CALIBRATION,Low,"ELECTRICAL, TORQUE, TEMPERATURE, DIMENSIONAL, MASS, PRESSURE, RH",INCLSV,GLOBAL,100205578,100061028,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,TRANSCAT INC,"ROCHESTER,NY,US",FPELLOT,10/7/2016,Insp&Calibration Srv
NEXUS ANALYTICS PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-401612,N/A PER SOP-427473,REC-563406,04/17/2023,F&E MAINTENANCE,Low,MAINTENANCE OF ANALYTICAL EQUIPMENT MANUFACTURED BY THERMO FISHER,MAINT,GLOBAL,100205980,100205980,"MALDONADO, DAISEY",MAINTENANCE SVCS-GMP,NEXUS ANALYTICS PTE LTD,"SINGAPORE, SG",NMARINOS,10/27/2016,Maintenance Srv
DOR PHARMACEUTICAL SERVICES LTD,"KFAR SABA, IL",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-601953,1/11/2025,CONSULTANTS,Low,"QUALIFIED PERSON BACK UP, QUALITY SYSTEMS AUDIT SERVICE FOR AMGEN ISRAEL",QASUP,GLOBAL,100206423,100206423,IDQ,CONSULTANT FOR AUDIT SERVICES,DOR PHARMACEUTICAL SERVICES LTD,"KFAR SABA, IL",GTORRE05,10/28/2016,Qlty Audits-Supplier
BIOCAIR SINGAPORE PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-401050,AMS-51959,REC-569143,01/24/2023,TRANSPORT,Medium,TRANSPORTATION INCLUDING ACTIVE TEMPERATURE CONTROL,SHDELS,GLOBAL,100207003,100207003,SUPPLY CHAIN,TRANSPORT SERVICE PROVIDERS- CONTROLLED TEMPERATURE SHIPMENTS,BIOCAIR SINGAPORE PTE LTD,"SINGAPORE, SG",GTORRE05,02/28/2017,Ship& Delivery Serv
RAEYCO LAB EQUIPMENT SYSTEMS MANAGEMENT LTD,"BURNABY,BC,CA",APPROVED,Acceptable,QAGR-401613,AMS-51472,REC-563457,06/30/2023,CALIBRATION,Low,"INCUBATORS, MICROSCOPES, CELL COUNTERS, CENTRIFUGES, FREEZERS, REFRIGERATORS, MICROPLATE READERS, GAS DETECTION, CERTIFICATION OF CLEANROOMS, HEPA FILTERS AND HOODS",INCLSV,GLOBAL,100207052,100207052,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,RAEYCO LAB EQUIPMENT SYSTEMS,"BURNABY,BC,CA",FPELLOT,11/10/2016,Insp&Calibration Srv
ZUELLIG PHARMA PTE LTD,"SINGAPORE, SG",APPROVED,Acceptable,QAGR-401999,AMS-58474,REC-563787,09/30/2022,INTERNATIONAL LOGISTIC SERVICE PROVIDER,High,THE VENDOR IS OUR SINGAPORE LOGISTICS SERVICE PROVIDER WHICH PROVIDE TRANSPORTATION AND LOGISTICS SERVICE FOR AMGEN BIOTECHNOLOGY SINGAPORE PTE LTD,WAREH,GLOBAL,100207157,100207157,SINGAPORE SUPPLY CHAIN,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,ZUELLIG PHARMA PTE LTD,"SINGAPORE, SG",NMARINOS,2/8/2019,Warehousing
